id;start_date;end_date;tjm;rfa;frais_mentuels;frais_journaliers;marge_calculee;indicateur_t_revenue;jours_travailee;mois_travailee;annees_travailee;scr;chiffre_affaire_calculee;couts_calculee
1;Money Market Account analyzer;ADP pixel;66618;64560;42130;8055;88180;Administrator;2020-07-06;2020-07-06;2020-07-06;Cambridgeshire Handmade Plastic Mouse;52964;58820
2;grey Health;Generic strategic;50496;98296;62926;84252;90702;recontextualize Macao Pizza;2020-07-06;2020-07-06;2020-07-05;District;34217;81924
3;Regional protocol;innovate deposit;752;23680;25314;72150;6987;Lebanon;2020-07-05;2020-07-06;2020-07-06;web services backing up Money Market Account;3411;64156
4;cultivate HTTP;Spur Lead exploit;31504;24011;70759;52014;29765;Designer Intelligent Frozen Table parsing;2020-07-06;2020-07-06;2020-07-06;Mills utilisation;35484;82254
5;pink Cambridgeshire plum;Small;74493;67495;32157;32378;14231;Fresh Throughway Pennsylvania;2020-07-06;2020-07-06;2020-07-06;pink Health;89079;66338
6;iterate invoice;Agent;20963;85643;70936;82786;37471;navigate Generic Concrete Ball;2020-07-06;2020-07-06;2020-07-06;Pennsylvania Designer Accounts;98620;67272
7;Nevada Outdoors;Fresh Car Customer;81026;29786;53741;22969;27557;Assistant;2020-07-06;2020-07-05;2020-07-06;reboot Radial;38177;68407
8;Program;CSS primary;73099;29683;41701;56420;60575;Investor even-keeled;2020-07-06;2020-07-06;2020-07-06;service-desk mission-critical pink;23800;90552
9;Savings Account Home Loan Account;value-added Home Loan Account;85886;36727;71181;94356;97031;transmit Loop hacking;2020-07-06;2020-07-06;2020-07-06;invoice;77765;73972
10;Forward toolset;Functionality SAS Centralized;40878;29043;62226;3784;18287;Harbor invoice;2020-07-06;2020-07-06;2020-07-06;radical programming override;58304;97086
