id;code_type_entitee;libelle_type_entitee;is_active
1;Technician;standardization real-time;true
2;Grocery Rustic Inlet;Practical Avenue;true
3;synthesizing program;Wyoming Awesome Netherlands;false
4;silver Savings Account;applications;false
5;utilisation protocol Greenland;Intelligent;false
6;open-source Pants;hard drive;true
7;Handmade Fresh Keyboard grey Gibraltar Pound;Granite portals regional;true
8;modular Communications;protocol Iraqi Dinar;true
9;Orchestrator bandwidth architect;transmitting system Wall;true
10;quantify killer proactive;synthesize hack Practical Concrete Cheese;true
