id;projet;responsable;start_date;end_date;ressource;status;lieu
1;clicks-and-mortar;back up;2020-07-06;2020-07-06;deploy;communities brand;deposit Extended Shirt
2;Intelligent Moldova invoice;Djibouti Franc Chair;2020-07-06;2020-07-06;Rustic hard drive Creative;Granite;Bedfordshire
3;analyzing Australian Dollar yellow;integrate leverage override;2020-07-06;2020-07-06;benchmark Nevada Frozen;B2C Front-line;Down-sized Computers
4;index Pakistan Rupee multi-byte;payment;2020-07-06;2020-07-06;Administrator Virgin Islands, British;Frozen;FTP
5;Berkshire panel Handmade;mobile South Carolina;2020-07-06;2020-07-06;Cotton Assistant Licensed;Luxembourg Frozen Gorgeous Frozen Chips;Street Music
6;Handmade Frozen Car input Car;Nebraska program silver;2020-07-06;2020-07-06;Bike matrix;experiences;Malagasy Ariary
7;indexing neural Gorgeous;Officer;2020-07-06;2020-07-06;Shirt;neural productize;white
8;Intelligent Rubber Ball Operations;Customer iterate Jewelery;2020-07-06;2020-07-06;Soft Borders Data;virtual gold;hard drive
9;Holy See (Vatican City State) transmitting;TCP;2020-07-06;2020-07-06;Assistant withdrawal;Hat;ADP Cambridgeshire Supervisor
10;Beauty;Comoros Mauritius pink;2020-07-06;2020-07-06;generating Moroccan Dirham;Canada Tasty;compressing
