id;code;niveau;localisation;montant
1;Engineer Nebraska Steel;Palladium;methodologies El Salvador Colon US Dollar Money Market Account;lavender North Carolina Licensed Soft Computer
2;systems;yellow Toys Agent;Shoes Cotton;Small Granite Computer Engineer Handcrafted Wooden Chicken
3;Intelligent Steel Table global;cross-platform cross-platform mindshare;bus Central;viral bricks-and-clicks salmon
4;content Home Loan Account Virgin Islands, British;Small Rubber Hat Kids;extend;Legacy leverage
5;payment;system engine Human;Plastic;withdrawal complexity
6;Table;yellow Shoes;Mill;Tactics innovate
7;Point Sleek;Kuwait;Summit incubate Salad;XML
8;Personal Loan Account generate;Ghana;Enhanced connect;Reduced
9;sensor;Vietnam Australia Indiana;Garden Massachusetts Intelligent Steel Towels;Fully-configurable
10;Executive;Maine Wallis and Futuna;invoice Corporate Accounts;communities
